Run,Iteration,Objective Value,tiempo_it_seg
0,0,-74.25879324484522,6.778
0,1,-75.42192253626963,2.739
0,2,-81.58417274196326,2.776
0,3,-81.58417274196326,4.537
0,4,-81.58417274196326,2.803
0,5,-81.58417274196326,2.789
0,6,-82.75763840918864,2.735
0,7,-82.75763840918864,4.0
0,8,-82.75763840918864,3.324
0,9,-83.23568854390017,2.77
0,10,-83.99066600015736,2.802
0,11,-83.99066600015736,3.152
0,12,-83.99066600015736,4.131
0,13,-83.99066600015736,2.821
0,14,-83.99436066114062,2.849
0,15,-83.99436066114062,2.791
0,16,-83.99436066114062,4.581
0,17,-83.99436066114062,2.771
0,18,-83.99436066114062,2.796
0,19,-83.99436066114062,2.773
0,20,-83.99839142368248,3.987
0,21,-83.99839142368248,3.377
1,0,-76.16905012992194,6.65
1,1,-76.16905012992194,4.539
1,2,-77.95677468943171,2.88
1,3,-77.95677468943171,2.806
1,4,-79.35094823873112,2.784
1,5,-81.13265938135886,3.724
1,6,-81.13265938135886,3.62
1,7,-82.66637910085494,2.796
1,8,-82.66637910085494,3.192
1,9,-82.66637910085494,3.432
1,10,-82.66637910085494,4.06
1,11,-82.66637910085494,2.757
1,12,-82.66637910085494,2.78
1,13,-82.98448493715959,2.875
1,14,-83.646664561916,4.539
1,15,-83.646664561916,2.773
1,16,-83.646664561916,2.753
1,17,-83.646664561916,2.746
1,18,-83.646664561916,4.044
1,19,-83.646664561916,3.397
1,20,-83.646664561916,2.782
1,21,-83.89401376770981,2.761
1,22,-83.89401376770981,3.196
1,23,-83.89401376770981,4.117
1,24,-83.89401376770981,2.771
1,25,-83.89401376770981,2.753
2,0,-77.83104383545816,7.311
2,1,-77.83104383545816,2.752
2,2,-77.83104383545816,2.736
2,3,-81.52330209707291,2.749
2,4,-82.32458504838355,4.125
2,5,-82.32458504838355,3.147
2,6,-82.32458504838355,2.742
2,7,-82.32458504838355,2.742
2,8,-82.32458504838355,3.172
2,9,-82.80661963243367,4.11
2,10,-84.10328769703584,2.807
2,11,-84.10328769703584,2.749
2,12,-85.15639760049237,2.778
2,13,-85.22325436870483,4.555
2,14,-85.39011874339901,3.18
2,15,-85.39011874339901,2.762
2,16,-86.20679115449815,2.764
2,17,-86.20679115449815,4.179
2,18,-86.76018256754485,3.118
2,19,-86.76018256754485,2.798
2,20,-87.06507418432544,2.803
2,21,-87.15287684407899,3.356
2,22,-87.15287684407899,3.939
2,23,-87.19772046150281,2.725
2,24,-87.38376248676946,2.765
2,25,-87.38376248676946,2.727
2,26,-87.38376248676946,4.565
2,27,-87.57522329198206,2.764
2,28,-87.58461524238017,2.756
2,29,-87.58461524238017,3.256
2,30,-87.58461524238017,4.33
2,31,-87.58461524238017,2.956
2,32,-87.58461524238017,2.78
2,33,-87.58461524238017,2.751
2,34,-87.58461524238017,3.407
3,0,-75.08571326512588,6.161
3,1,-80.42051256837968,2.773
3,2,-80.42051256837968,3.035
3,3,-81.03342835287715,4.378
3,4,-82.9769748757878,2.783
3,5,-82.9769748757878,2.827
3,6,-85.07374842860285,2.771
3,7,-85.07374842860285,4.561
3,8,-85.18531276543037,2.763
3,9,-85.18531276543037,2.768
3,10,-86.44675813856165,2.734
3,11,-86.44675813856165,3.624
3,12,-86.44675813856165,3.725
3,13,-86.44675813856165,2.762
3,14,-86.44675813856165,2.784
3,15,-86.44675813856165,2.755
3,16,-86.76563557064588,4.554
3,17,-86.86762425526263,2.721
3,18,-87.23055186926148,2.762
3,19,-87.23055186926148,2.724
3,20,-87.23055186926148,4.09
3,21,-87.23055186926148,3.17
3,22,-87.76923449329432,2.735
3,23,-87.76923449329432,2.738
3,24,-87.76923449329432,3.18
3,25,-87.76923449329432,4.085
3,26,-87.76923449329432,2.725
3,27,-87.76923449329432,2.74
3,28,-87.76923449329432,2.732
3,29,-87.76923449329432,4.498
3,30,-87.76923449329432,2.752
3,31,-87.76923449329432,2.792
3,32,-87.81395992362889,2.747
3,33,-87.81395992362889,3.726
3,34,-87.81395992362889,3.557
4,0,-76.69721941084896,5.447
4,1,-78.12936167676692,3.154
4,2,-78.12936167676692,4.164
4,3,-80.89159033754838,2.832
4,4,-82.16379335192534,2.801
4,5,-82.16379335192534,2.783
4,6,-82.16379335192534,4.529
4,7,-82.87579395968648,2.825
4,8,-82.9887997793868,2.813
4,9,-82.9887997793868,2.792
4,10,-83.18505084950124,4.071
4,11,-83.42825349749396,3.317
4,12,-83.58439665270082,2.758
4,13,-83.58439665270082,2.832
4,14,-83.83261321130166,3.358
4,15,-83.83261321130166,4.099
4,16,-83.83261321130166,2.814
4,17,-83.84072206277779,2.783
4,18,-83.84072206277779,2.803
4,19,-83.88657998475402,4.634
5,0,-79.5102717037343,5.459
5,1,-79.5102717037343,4.139
5,2,-81.74162914811899,3.206
5,3,-82.26676239889393,2.757
5,4,-82.26676239889393,2.74
5,5,-83.43070824791116,3.165
5,6,-84.2523782528217,4.131
5,7,-86.94474037847473,2.751
5,8,-86.94474037847473,2.759
5,9,-86.94474037847473,2.785
5,10,-86.94474037847473,4.662
5,11,-86.94474037847473,2.859
5,12,-86.94474037847473,2.811
5,13,-86.94474037847473,2.803
5,14,-86.94474037847473,4.021
5,15,-86.94474037847473,3.433
5,16,-86.94474037847473,2.798
5,17,-86.94474037847473,2.764
5,18,-86.94474037847473,3.181
5,19,-86.94474037847473,4.223
5,20,-86.94474037847473,2.814
5,21,-86.94474037847473,2.77
5,22,-86.94474037847473,2.758
5,23,-86.94474037847473,4.566
5,24,-86.94474037847473,2.727
5,25,-87.07644754275182,2.79
5,26,-87.07644754275182,2.821
5,27,-87.54909183406475,3.956
5,28,-87.54909183406475,3.424
5,29,-87.54909183406475,2.871
5,30,-87.54909183406475,2.856
5,31,-87.54909183406475,3.341
5,32,-87.54909183406475,4.068
5,33,-87.54909183406475,2.798
5,34,-87.62196799349427,2.774
5,35,-87.62196799349427,2.789
5,36,-87.62196799349427,4.542
5,37,-87.62196799349427,2.798
5,38,-87.62196799349427,2.881
5,39,-87.62196799349427,2.8
6,0,-78.13413563935983,7.312
6,1,-78.13413563935983,2.812
6,2,-78.57225434902523,2.766
6,3,-80.17314084475608,3.785
6,4,-80.17812295024284,3.608
6,5,-81.9257054293386,2.837
6,6,-82.21559193646148,2.875
6,7,-82.21559193646148,3.261
6,8,-82.21559193646148,4.219
6,9,-82.22958385288698,2.803
6,10,-82.24747713182578,2.769
6,11,-83.14000495435863,2.781
6,12,-83.44090929414646,4.57
6,13,-83.56856533223382,2.781
6,14,-83.56856533223382,2.75
6,15,-83.56856533223382,2.863
6,16,-83.92546767073797,3.988
6,17,-83.92546767073797,3.414
