Nivel E,Nivel fac,Repetición,Corrida,y
0.1,0.01,1,1,0.9985557531628342
0.1,0.01,1,2,1.003561584056796
0.1,0.01,2,1,0.9985557531628342
0.1,0.01,2,2,1.003561584056796
0.1,0.1,1,1,0.9985557531628342
0.1,0.1,1,2,1.0501638825162143
0.1,0.1,2,1,0.9985557531628342
0.1,0.1,2,2,1.0501638825162143
0.4,0.01,1,1,0.9985557531628342
0.4,0.01,1,2,1.003561584056796
0.4,0.01,2,1,0.9985557531628342
0.4,0.01,2,2,1.003561584056796
0.4,0.1,1,1,0.9985557531628342
0.4,0.1,1,2,1.0501638825162143
0.4,0.1,2,1,0.9985557531628342
0.4,0.1,2,2,0.9985557531628342
0.8,0.01,1,1,0.9985557531628342
0.8,0.01,1,2,1.0075090501796153
0.8,0.01,2,1,0.9985557531628342
0.8,0.01,2,2,1.003561584056796
0.8,0.1,1,1,0.9985557531628342
0.8,0.1,1,2,1.008199816105774
0.8,0.1,2,1,0.9985557531628342
0.8,0.1,2,2,0.9985557531628342
